radius (m),mass (kg),gravity,atmosphere,oxygene,avg_temp (C),water,rotational_period (h),life
9024000.0,1.691477435710583e+25,1.41,NO,NO,64.7,NO,31.6,NO
9403000.0,1.9147227541387402e+25,1.47,NO,NO,105.1,NO,55.2,NO
9034000.0,1.6977952554176277e+25,1.42,NO,NO,40.6,NO,31.2,NO
11021000.0,3.0818750207579095e+25,1.73,YES,YES,81.4,YES,37.3,YES
9793000.0,2.1624374207117486e+25,1.53,YES,YES,47.9,NO,37.3,NO
8258000.0,1.2964284743266854e+25,1.29,NO,NO,13.2,NO,22.4,NO
11280000.0,3.3049099784982526e+25,1.77,YES,YES,83.3,NO,48.1,NO
9608000.0,2.0431323066446762e+25,1.51,NO,NO,67.5,NO,31.9,YES
10883000.0,2.9680984097519114e+25,1.7,NO,NO,93.8,NO,30.7,NO
6676000.0,6.850411997031708e+24,1.05,YES,NO,14.7,NO,32.9,NO
9312000.0,1.8594879846590413e+25,1.46,YES,YES,35.9,YES,45.0,YES
13710000.0,5.933673528377879e+25,2.15,YES,NO,20.0,NO,31.1,NO
7288000.0,8.913318821144494e+24,1.14,NO,NO,33.7,NO,43.0,NO
8350000.0,1.3406992084949622e+25,1.31,NO,NO,37.0,NO,29.2,NO
13508000.0,5.6753588122692125e+25,2.12,YES,YES,46.5,NO,31.7,NO
9028000.0,1.6947775867060922e+25,1.41,NO,NO,53.1,NO,35.5,NO
11589000.0,3.5833663118322943e+25,1.81,YES,NO,24.2,NO,27.6,NO
8223000.0,1.280284192178455e+25,1.29,NO,NO,39.6,NO,24.2,NO
5709000.0,4.2838140529091744e+24,0.89,YES,YES,66.4,NO,45.2,NO
7204000.0,8.610880564813329e+24,1.13,NO,NO,97.6,NO,22.2,NO
3886000.0,1.3512624667903988e+24,0.61,NO,NO,71.6,NO,28.0,NO
8021000.0,1.1883973054772408e+25,1.26,NO,NO,26.0,NO,35.7,NO
2393000.0,3.1549684798161677e+23,0.37,NO,NO,23.4,NO,38.4,NO
9312000.0,1.8595423942260584e+25,1.46,NO,NO,118.1,NO,31.7,NO
14089000.0,6.439720603942012e+25,2.21,NO,NO,52.2,NO,26.1,NO
9848000.0,2.1994377473119024e+25,1.54,NO,NO,31.4,NO,39.1,NO
6329000.0,5.837248422634655e+24,0.99,NO,NO,75.7,NO,37.3,NO
12371000.0,4.360041944276195e+25,1.94,NO,NO,8.9,NO,24.7,NO
8742000.0,1.5382750003541499e+25,1.37,NO,NO,20.3,NO,31.5,YES
7467000.0,9.586771576147177e+24,1.17,NO,NO,48.5,NO,25.7,NO
6617000.0,6.670241281941055e+24,1.04,NO,NO,33.4,NO,44.8,NO
3255000.0,7.938485653663487e+23,0.51,NO,NO,57.5,NO,32.8,NO
5925000.0,4.788378498289431e+24,0.93,YES,YES,-2.9,YES,24.8,YES
10497000.0,2.662872697007297e+25,1.64,YES,YES,88.2,NO,24.5,NO
13003000.0,5.063447973235868e+25,2.04,YES,YES,70.1,NO,31.5,NO
12128000.0,4.108947333071591e+25,1.9,YES,YES,74.4,NO,35.5,NO
7140000.0,8.383401329663732e+24,1.12,YES,YES,60.8,NO,23.5,NO
8133000.0,1.2388052508125927e+25,1.27,YES,YES,29.9,NO,21.5,NO
11083000.0,3.1358019866707297e+25,1.74,NO,NO,20.7,NO,28.6,NO
9272000.0,1.8352326190672073e+25,1.45,YES,NO,54.6,NO,30.0,NO
8609000.0,1.4690237668412294e+25,1.35,YES,YES,64.6,YES,29.8,YES
7179000.0,8.521062413257871e+24,1.12,YES,YES,48.1,YES,27.9,YES
6103000.0,5.233612796332213e+24,0.96,NO,NO,41.8,NO,22.0,NO
9549000.0,2.0049964867865266e+25,1.5,YES,YES,116.0,NO,44.7,NO
11204000.0,3.238754221555598e+25,1.76,YES,NO,98.6,NO,35.6,NO
9554000.0,2.007652033202466e+25,1.5,YES,YES,59.7,YES,34.4,YES
9910000.0,2.241240692486895e+25,1.55,YES,NO,13.7,NO,38.0,NO
9668000.0,2.080718874392003e+25,1.51,NO,NO,61.5,YES,23.7,NO
7033000.0,8.010013931502283e+24,1.1,YES,YES,39.3,NO,66.4,NO
7809000.0,1.096563408106395e+25,1.22,YES,YES,80.9,NO,28.8,NO
12624000.0,4.633275982808028e+25,1.98,NO,NO,87.4,NO,17.5,NO
9072000.0,1.7196654086473129e+25,1.42,YES,YES,61.1,NO,28.3,NO
7412000.0,9.377895054359403e+24,1.16,NO,NO,14.0,NO,17.5,NO
13559000.0,5.740592836178183e+25,2.12,YES,YES,44.2,NO,22.9,NO
12465000.0,4.460835545899928e+25,1.95,NO,NO,13.2,NO,36.0,NO
9896000.0,2.231272261878785e+25,1.55,YES,YES,38.7,NO,42.8,NO
10070000.0,2.351390733322624e+25,1.58,NO,NO,30.4,NO,34.0,NO
8616000.0,1.4728030998066295e+25,1.35,NO,NO,106.2,NO,27.4,NO
10151000.0,2.4085364979953907e+25,1.59,NO,NO,54.9,NO,33.4,NO
6644000.0,6.754177403719492e+24,1.04,NO,NO,45.4,NO,33.3,NO
9532000.0,1.994600121170149e+25,1.49,YES,YES,45.9,NO,41.2,NO
8235000.0,1.2859719594447628e+25,1.29,NO,NO,64.6,NO,35.6,NO
11895000.0,3.87571801580419e+25,1.86,YES,NO,21.7,YES,45.4,YES
6564000.0,6.513812448705866e+24,1.03,NO,NO,-27.4,NO,29.9,NO
10332000.0,2.539470954580106e+25,1.62,YES,YES,84.1,NO,27.5,NO
7427000.0,9.433183460453281e+24,1.16,NO,NO,49.3,NO,34.0,NO
13305000.0,5.424386061790571e+25,2.08,NO,NO,26.2,NO,17.9,NO
10043000.0,2.3331779987076347e+25,1.57,NO,NO,18.4,NO,30.8,NO
5223000.0,3.280885532856967e+24,0.82,YES,YES,8.6,NO,51.5,NO
9493000.0,1.9699486859233176e+25,1.49,YES,YES,42.1,YES,30.3,YES
10240000.0,2.4726033244734997e+25,1.6,NO,NO,49.6,NO,53.5,NO
6153000.0,5.364978484289813e+24,0.96,NO,NO,65.8,NO,36.4,NO
12677000.0,4.690479393714397e+25,1.99,YES,YES,19.4,YES,24.9,YES
7031000.0,8.004276792742298e+24,1.1,NO,NO,111.9,NO,21.2,NO
9479000.0,1.961959762894535e+25,1.49,NO,NO,46.7,NO,40.7,NO
15957000.0,9.35474847512015e+25,2.5,YES,NO,68.2,NO,55.2,NO
7866000.0,1.12093013868612e+25,1.23,NO,NO,69.0,NO,32.8,NO
13354000.0,5.482640842291128e+25,2.09,YES,YES,17.6,NO,35.2,NO
7960000.0,1.1613001245670533e+25,1.25,YES,YES,111.5,NO,28.3,NO
15403000.0,8.415223811680999e+25,2.41,YES,NO,-2.1,NO,37.0,NO
7101000.0,8.244767649299311e+24,1.11,NO,NO,-4.3,NO,33.0,NO
6422000.0,6.101484298632148e+24,1.01,YES,YES,96.2,YES,47.7,YES
6660000.0,6.800559171271384e+24,1.04,NO,NO,76.2,NO,38.8,NO
6973000.0,7.808321225198682e+24,1.09,NO,NO,21.5,NO,27.5,NO
9941000.0,2.2625223436923866e+25,1.56,NO,NO,52.2,NO,36.0,NO
5117000.0,3.0857478402485174e+24,0.8,NO,NO,38.3,NO,32.7,NO
9843000.0,2.1960687811305843e+25,1.54,YES,YES,33.3,NO,21.7,NO
11669000.0,3.660485458048609e+25,1.83,YES,YES,50.0,YES,43.2,YES
8725000.0,1.5293796966563339e+25,1.37,YES,YES,56.1,YES,43.1,NO
5778000.0,4.4424994130167117e+24,0.91,NO,NO,92.3,NO,36.2,NO
8946000.0,1.6484537428390859e+25,1.4,NO,NO,57.5,NO,29.4,NO
9022000.0,1.6914281434138141e+25,1.41,YES,YES,93.9,NO,43.3,YES
7533000.0,9.84258633920523e+24,1.18,NO,NO,64.1,NO,23.9,NO
10167000.0,2.419789826978489e+25,1.59,NO,NO,51.5,NO,29.5,NO
10793000.0,2.895202625453161e+25,1.69,NO,NO,19.4,YES,23.7,YES
13655000.0,5.86580636174263e+25,2.14,YES,YES,56.4,YES,32.6,YES
6353000.0,5.904242965106807e+24,1.0,NO,NO,60.1,NO,44.6,YES
10577000.0,2.724237449276825e+25,1.66,YES,YES,16.8,NO,35.5,NO
11367000.0,3.38164810381957e+25,1.78,NO,NO,17.2,NO,36.9,NO
11310000.0,3.3318460459227025e+25,1.77,YES,YES,25.7,YES,19.5,YES
7600000.0,1.011182761701102e+25,1.19,NO,NO,54.3,NO,22.2,NO
11232000.0,3.2637982773974894e+25,1.76,YES,YES,30.2,NO,21.6,NO
5671000.0,4.1997770138552037e+24,0.89,NO,NO,33.9,NO,30.9,NO
11519000.0,3.518786233654354e+25,1.8,YES,YES,-6.8,NO,23.4,NO
7616000.0,1.017495915584607e+25,1.19,YES,YES,60.9,NO,33.2,NO
8490000.0,1.408886581854556e+25,1.33,NO,NO,99.4,NO,18.2,NO
8647000.0,1.4890787120600341e+25,1.35,YES,YES,61.5,NO,24.9,NO
3188000.0,7.463835695422823e+23,0.5,NO,NO,22.0,NO,41.1,NO
11755000.0,3.74056068138044e+25,1.84,NO,NO,37.3,NO,41.6,NO
10403000.0,2.5922178155918205e+25,1.63,YES,NO,59.3,NO,31.9,NO
8055000.0,1.2031932446545004e+25,1.26,YES,YES,71.4,NO,44.6,NO
6753000.0,7.092519565500199e+24,1.06,YES,YES,78.3,NO,35.3,NO
5032000.0,2.933253875072653e+24,0.79,NO,NO,35.9,NO,35.5,NO
6411000.0,6.068320267274178e+24,1.0,NO,NO,13.7,NO,39.5,NO
8937000.0,1.6433667741827833e+25,1.4,NO,NO,28.9,NO,45.0,NO
8371000.0,1.3510960515678401e+25,1.31,NO,NO,82.2,NO,23.0,NO
10425000.0,2.6076523150080995e+25,1.63,YES,YES,98.1,NO,28.5,YES
11434000.0,3.4417019689472387e+25,1.79,YES,NO,105.0,YES,26.1,NO
8820000.0,1.5798170453212104e+25,1.38,NO,NO,136.4,NO,15.7,NO
6745000.0,7.066102044238059e+24,1.06,NO,NO,53.1,NO,52.0,NO
11245000.0,3.2740148986283777e+25,1.76,YES,NO,71.2,YES,44.4,YES
10748000.0,2.8585235425597127e+25,1.68,YES,YES,48.9,NO,43.4,NO
4797000.0,2.54249152734025e+24,0.75,NO,NO,110.5,NO,33.6,NO
9793000.0,2.1632905427891586e+25,1.53,YES,YES,33.0,YES,28.2,YES
10518000.0,2.6800130816963356e+25,1.65,NO,NO,107.2,NO,25.5,NO
7772000.0,1.0809420202581034e+25,1.22,NO,NO,52.5,NO,25.6,NO
8840000.0,1.591525539111128e+25,1.39,NO,NO,72.9,NO,50.4,NO
7733000.0,1.064900100509403e+25,1.21,NO,NO,52.6,NO,20.1,NO
10533000.0,2.6911614250204333e+25,1.65,NO,NO,65.0,NO,40.8,NO
4957000.0,2.8050527417944637e+24,0.78,NO,NO,43.9,NO,38.1,NO
7355000.0,9.162878847623265e+24,1.15,YES,YES,32.5,YES,49.1,YES
6964000.0,7.778601454341909e+24,1.09,NO,NO,47.5,NO,52.3,NO
1605000.0,9.520585129844768e+22,0.25,NO,NO,69.8,NO,26.2,NO
10854000.0,2.9446986928861342e+25,1.7,NO,NO,42.1,NO,35.8,NO
10654000.0,2.7843182759663407e+25,1.67,NO,NO,40.9,NO,13.1,NO
11654000.0,3.6449511605927427e+25,1.83,YES,YES,76.8,YES,20.3,YES
5548000.0,3.933697467866792e+24,0.87,NO,NO,40.0,NO,32.9,NO
5057000.0,2.977981601017431e+24,0.79,YES,YES,51.3,NO,27.2,NO
10193000.0,2.4391512073320414e+25,1.6,YES,YES,50.7,NO,38.7,NO
7517000.0,9.780254713624342e+24,1.18,YES,YES,90.2,NO,16.8,NO
6650000.0,6.771830429075017e+24,1.04,YES,YES,68.7,NO,31.5,NO
5519000.0,3.8702652970860436e+24,0.86,NO,NO,83.4,NO,28.9,NO
4284000.0,1.8106923951386136e+24,0.67,NO,NO,59.3,NO,18.9,NO
10955000.0,3.0276661585573564e+25,1.72,NO,NO,60.2,NO,40.1,NO
9225000.0,1.8076398940445484e+25,1.44,YES,YES,72.8,NO,46.9,NO
15357000.0,8.33523644748081e+25,2.4,YES,YES,52.4,YES,8.5,YES
9235000.0,1.8128032182284384e+25,1.45,NO,NO,65.3,NO,50.3,NO
4509000.0,2.1104601482902608e+24,0.71,YES,NO,37.9,NO,11.9,NO
12016000.0,3.9955142145897695e+25,1.88,YES,YES,59.9,NO,10.6,NO
8646000.0,1.4883535652906482e+25,1.35,YES,YES,30.4,NO,41.2,NO
13232000.0,5.333610988978553e+25,2.07,NO,NO,71.8,NO,37.2,NO
7445000.0,9.503731688004885e+24,1.17,YES,YES,34.4,NO,28.8,NO
9931000.0,2.2553547168178883e+25,1.56,NO,NO,42.2,NO,33.8,NO
9929000.0,2.2539944214973877e+25,1.56,NO,NO,104.3,NO,31.0,NO
6043000.0,5.081189211591644e+24,0.95,NO,NO,29.1,NO,27.5,NO
7560000.0,9.950498285757826e+24,1.18,YES,YES,35.3,NO,35.2,NO
6587000.0,6.579930402478334e+24,1.03,NO,NO,63.4,NO,32.1,NO
18480000.0,1.4528511120901045e+26,2.89,YES,NO,60.0,YES,25.9,YES
5083000.0,3.0238317386290156e+24,0.8,NO,NO,-18.8,NO,23.6,NO
4214000.0,1.7231962393958817e+24,0.66,NO,NO,17.6,NO,10.4,NO
9288000.0,1.8446281693573932e+25,1.45,NO,NO,57.5,NO,17.6,NO
4928000.0,2.755619169610503e+24,0.77,YES,YES,40.8,NO,61.0,NO
5553000.0,3.942851627363898e+24,0.87,NO,NO,24.6,NO,33.0,NO
11985000.0,3.964905296805916e+25,1.88,YES,YES,79.8,NO,57.4,NO
5245000.0,3.322769165210827e+24,0.82,NO,NO,84.9,NO,31.7,NO
4646000.0,2.3086500866441067e+24,0.73,NO,NO,59.9,NO,48.0,NO
6673000.0,6.841921873209534e+24,1.05,NO,NO,44.9,NO,41.1,NO
7057000.0,8.093552398968409e+24,1.11,NO,NO,33.4,NO,44.1,NO
10589000.0,2.734277079294543e+25,1.66,YES,YES,90.9,NO,32.0,NO
8534000.0,1.4306080218448616e+25,1.34,NO,NO,34.0,NO,30.0,NO
6978000.0,7.823323797371027e+24,1.09,NO,NO,34.1,NO,47.9,NO
8524000.0,1.4264477364259622e+25,1.34,NO,NO,56.2,NO,31.0,NO
9645000.0,2.0660831321862376e+25,1.51,NO,NO,49.4,NO,36.0,NO
7458000.0,9.552458485501944e+24,1.17,NO,NO,70.3,NO,44.3,NO
14619000.0,7.195044644358332e+25,2.29,YES,YES,-5.4,NO,35.6,NO
9334000.0,1.8720156147968659e+25,1.46,NO,NO,14.8,NO,38.9,NO
12224000.0,4.206991754891717e+25,1.92,NO,NO,60.1,NO,23.4,NO
9977000.0,2.2865996867625994e+25,1.56,NO,NO,25.4,NO,39.8,NO
8886000.0,1.6158445287422792e+25,1.39,YES,YES,62.0,NO,31.0,YES
8436000.0,1.3824690421032943e+25,1.32,YES,YES,42.0,NO,37.9,NO
11759000.0,3.744567365076213e+25,1.84,NO,NO,79.0,NO,48.6,NO
8925000.0,1.6374621315715453e+25,1.4,YES,YES,41.2,NO,39.9,NO
8222000.0,1.2798943055798905e+25,1.29,NO,NO,27.0,NO,37.2,NO
7091000.0,8.2108774323235e+24,1.11,YES,YES,34.8,YES,40.8,YES
10791000.0,2.8935760585762184e+25,1.69,NO,NO,89.9,NO,30.4,NO
9789000.0,2.1595205433841756e+25,1.53,NO,NO,83.1,NO,24.3,NO
9837000.0,2.1916599976369596e+25,1.54,NO,NO,28.1,NO,22.2,NO
6607000.0,6.642712585213209e+24,1.04,NO,NO,37.5,NO,35.3,NO
8953000.0,1.6524661007849446e+25,1.4,YES,YES,108.1,YES,13.4,NO
7905000.0,1.1373802181959536e+25,1.24,YES,YES,81.2,YES,20.2,YES
9831000.0,2.1875408587344234e+25,1.54,NO,NO,61.2,NO,25.4,NO
10182000.0,2.4311238743029037e+25,1.6,NO,NO,49.3,NO,33.4,NO
8852000.0,1.5973503615988945e+25,1.39,NO,NO,88.1,NO,47.8,NO
4470000.0,2.0565115743680603e+24,0.7,NO,NO,70.5,NO,29.9,NO
5700000.0,4.2642927315949285e+24,0.89,YES,YES,17.2,YES,27.9,NO
11325000.0,3.3447703761990905e+25,1.77,NO,NO,59.4,NO,30.3,NO
7419000.0,9.406428636167379e+24,1.16,NO,NO,34.6,NO,25.4,NO
4751000.0,2.469291412512356e+24,0.74,NO,NO,12.8,NO,32.9,NO
2555000.0,3.8412812882957566e+23,0.4,YES,YES,15.6,YES,40.0,YES
8875000.0,1.6097285123223766e+25,1.39,YES,NO,73.2,NO,23.9,NO
11300000.0,3.3213543137985445e+25,1.77,NO,NO,17.1,NO,35.6,NO
9828000.0,2.1865173896782495e+25,1.54,YES,YES,70.9,YES,22.8,YES
15837000.0,9.144932065798976e+25,2.48,YES,YES,97.8,NO,51.7,NO
6028000.0,5.043557221167527e+24,0.94,NO,NO,-14.2,NO,27.6,NO
12838000.0,4.872500097723005e+25,2.01,NO,NO,76.0,NO,36.4,NO
7635000.0,1.024812713901595e+25,1.2,NO,NO,62.0,NO,35.6,NO
7255000.0,8.791440754162235e+24,1.14,YES,YES,47.3,NO,28.9,NO
7623000.0,1.0202878870172608e+25,1.19,NO,NO,60.1,NO,40.1,NO
8130000.0,1.237438475617601e+25,1.27,NO,NO,119.0,NO,34.5,NO
6154000.0,5.365459931508665e+24,0.96,NO,NO,-30.5,NO,26.3,NO
7655000.0,1.0327413983782337e+25,1.2,NO,NO,50.6,NO,38.8,NO
7000000.0,7.899378157468606e+24,1.1,NO,NO,87.1,NO,43.3,NO
11342000.0,3.3597731617511406e+25,1.78,YES,YES,74.5,NO,18.7,NO
8479000.0,1.4035754370256762e+25,1.33,NO,NO,41.5,NO,27.2,NO
9210000.0,1.7988373947068196e+25,1.44,YES,YES,1.2,NO,45.8,NO
4419000.0,1.9872896881328562e+24,0.69,YES,YES,83.3,YES,22.1,YES
10409000.0,2.597434602831885e+25,1.63,YES,YES,48.3,NO,25.0,NO
9372000.0,1.8954799371743374e+25,1.47,YES,YES,70.9,YES,36.1,YES
12480000.0,4.475695134293334e+25,1.95,YES,YES,63.4,YES,29.6,YES
7306000.0,8.979782145794459e+24,1.14,NO,NO,34.9,NO,53.2,NO
4823000.0,2.5833621046548477e+24,0.76,NO,NO,14.5,NO,46.7,NO
10054000.0,2.339944530190281e+25,1.57,NO,NO,24.3,NO,41.9,NO
11985000.0,3.9637914852359315e+25,1.88,NO,NO,95.0,NO,36.9,NO
8336000.0,1.3341995183040349e+25,1.31,YES,YES,87.8,YES,50.0,YES
12028000.0,4.007438227334851e+25,1.88,NO,NO,57.1,NO,12.2,NO
4474000.0,2.0622504939751266e+24,0.7,NO,NO,31.6,NO,43.9,NO
9717000.0,2.1131977251017843e+25,1.52,NO,NO,21.1,NO,32.4,NO
4843000.0,2.6160680471233593e+24,0.76,NO,NO,77.9,NO,29.5,NO
10943000.0,3.0171159461144314e+25,1.71,NO,NO,83.0,NO,24.1,NO
5373000.0,3.572017863609315e+24,0.84,YES,NO,65.8,NO,32.9,NO
12093000.0,4.072035804512602e+25,1.89,NO,NO,80.7,NO,32.5,NO
4863000.0,2.648505705616883e+24,0.76,NO,NO,18.2,NO,27.4,NO
8294000.0,1.3139663665123158e+25,1.3,YES,YES,-21.7,NO,39.1,NO
8991000.0,1.6735884907725207e+25,1.41,NO,NO,76.7,NO,9.5,NO
6136000.0,5.319614192003295e+24,0.96,NO,NO,20.1,NO,22.5,NO
12060000.0,4.039525118329867e+25,1.89,NO,NO,30.7,NO,18.3,NO
11032000.0,3.092438476127227e+25,1.73,YES,NO,23.2,NO,20.8,NO
6345000.0,5.88218952757943e+24,0.99,YES,YES,29.8,NO,13.7,NO
11848000.0,3.8313848086741136e+25,1.86,YES,YES,41.5,NO,34.3,NO
10629000.0,2.765621708830725e+25,1.67,NO,NO,74.9,NO,42.5,NO
5349000.0,3.5249664257319864e+24,0.84,NO,NO,31.8,NO,39.3,NO
14696000.0,7.308632649119517e+25,2.3,YES,YES,56.5,NO,34.5,NO
10879000.0,2.963185160571383e+25,1.7,YES,YES,40.4,NO,41.9,NO
9477000.0,1.960429210019557e+25,1.48,NO,NO,56.9,NO,40.3,NO
3411000.0,9.138968292847082e+23,0.53,NO,NO,57.7,NO,33.2,NO
13833000.0,6.0946789934629305e+25,2.17,YES,YES,74.9,YES,38.3,YES
12684000.0,4.699644985051748e+25,1.99,YES,NO,66.3,YES,28.9,YES
8674000.0,1.5027823980780897e+25,1.36,NO,NO,58.2,NO,27.7,NO
12365000.0,4.353710757879437e+25,1.94,NO,NO,88.5,NO,32.2,NO
8735000.0,1.5349767934725505e+25,1.37,YES,YES,39.0,NO,24.6,NO
8156000.0,1.2491488830791673e+25,1.28,NO,NO,57.7,NO,32.7,NO
10733000.0,2.8468962777862413e+25,1.68,YES,YES,38.0,YES,19.6,NO
4463000.0,2.0471650966567867e+24,0.7,YES,YES,54.1,NO,38.6,NO
12228000.0,4.2091007922872705e+25,1.91,YES,YES,37.2,NO,25.1,NO
7739000.0,1.0675500295420324e+25,1.21,NO,NO,76.8,NO,38.3,NO
11336000.0,3.3542393310989545e+25,1.78,YES,YES,24.2,NO,27.0,NO
11817000.0,3.7998779474905286e+25,1.85,NO,NO,59.2,NO,28.6,NO
8762000.0,1.5483722006855816e+25,1.37,NO,NO,99.9,NO,42.7,NO
3815000.0,1.2790613356507881e+24,0.6,NO,NO,45.7,NO,32.4,NO
8604000.0,1.4664335936184625e+25,1.35,YES,YES,64.1,YES,18.1,YES
9590000.0,2.03138221004198e+25,1.5,NO,NO,35.4,NO,43.6,NO
11480000.0,3.483914103185061e+25,1.8,YES,YES,67.2,YES,36.4,YES
3666000.0,1.1347217253742025e+24,0.57,YES,YES,32.1,NO,43.5,NO
9246000.0,1.819940483603406e+25,1.45,NO,NO,48.6,NO,19.2,NO
9743000.0,2.12952141274667e+25,1.53,NO,NO,13.2,NO,38.5,NO
2505000.0,3.619329200799864e+23,0.39,NO,NO,21.2,NO,28.7,NO
15071000.0,7.88246711597115e+25,2.36,YES,YES,14.2,YES,24.8,YES
10111000.0,2.379655155490383e+25,1.58,YES,YES,73.3,YES,57.4,YES
8883000.0,1.6142818077849948e+25,1.39,NO,NO,23.3,NO,20.2,NO
6718000.0,6.983098690434518e+24,1.05,NO,NO,75.0,NO,39.1,NO
7814000.0,1.098445292790179e+25,1.22,YES,YES,3.2,YES,58.9,YES
9143000.0,1.7603422309088004e+25,1.43,NO,NO,86.5,NO,19.5,NO
9227000.0,1.8091098308747987e+25,1.45,NO,NO,77.0,NO,36.3,NO
12112000.0,4.091344090383129e+25,1.9,NO,NO,23.9,NO,42.2,NO
3232000.0,7.775379159119625e+23,0.51,NO,NO,52.0,NO,23.9,NO
8331000.0,1.3313599547954676e+25,1.3,YES,YES,74.5,YES,24.1,YES
7844000.0,1.111240971179902e+25,1.23,NO,NO,26.0,NO,45.8,NO
3746000.0,1.2103329944395663e+24,0.59,NO,NO,74.2,NO,28.3,NO
15307000.0,8.25983153262742e+25,2.4,NO,NO,81.7,NO,34.1,NO
3183000.0,7.426198352803544e+23,0.5,YES,YES,47.1,NO,58.6,NO
6719000.0,6.985479811552855e+24,1.05,NO,NO,1.3,NO,33.6,NO
7213000.0,8.64100204668993e+24,1.13,NO,NO,50.5,NO,39.5,NO
12925000.0,4.97124633991406e+25,2.02,YES,YES,48.5,NO,49.9,YES
2161000.0,2.324003398304352e+23,0.34,NO,NO,74.4,NO,41.1,NO
8229000.0,1.2835205744703165e+25,1.29,NO,NO,24.5,NO,51.4,NO
5750000.0,4.3786475413243806e+24,0.9,NO,NO,32.3,NO,38.2,NO
10948000.0,3.0208002054444685e+25,1.71,YES,YES,64.3,NO,37.5,NO
7625000.0,1.0208176785802985e+25,1.19,YES,YES,72.9,NO,19.1,NO
17595000.0,1.2544072942749623e+26,2.76,YES,NO,58.6,YES,30.6,YES
11449000.0,3.4554791946383346e+25,1.79,YES,NO,65.0,NO,11.6,NO
5177000.0,3.1956317040890124e+24,0.81,NO,NO,95.5,NO,28.1,NO
3435000.0,9.334951306458962e+23,0.54,NO,NO,83.2,NO,22.1,NO
10570000.0,2.7190650163585807e+25,1.66,YES,YES,5.5,YES,30.2,NO
12408000.0,4.398957008910691e+25,1.94,YES,YES,56.7,YES,15.4,YES
10639000.0,2.7724760781730616e+25,1.67,YES,YES,-12.9,NO,36.8,NO
8492000.0,1.4105382665591675e+25,1.33,NO,NO,51.5,NO,17.3,NO
14201000.0,6.594244345988767e+25,2.22,YES,YES,45.8,NO,25.7,NO
11668000.0,3.658621841346376e+25,1.83,YES,YES,69.2,NO,21.1,NO
7541000.0,9.873288197539785e+24,1.18,NO,NO,39.7,NO,41.2,NO
7109000.0,8.271419019629358e+24,1.11,YES,YES,55.3,NO,36.2,NO
10214000.0,2.4535598838066474e+25,1.6,YES,YES,58.1,YES,26.3,YES
7317000.0,9.019540257521071e+24,1.15,NO,NO,50.4,NO,36.4,NO
3533000.0,1.0152059684313707e+24,0.55,NO,NO,29.5,NO,28.5,NO
8730000.0,1.5323287497715454e+25,1.37,NO,NO,33.2,NO,42.8,NO
6621000.0,6.684380360807059e+24,1.04,NO,NO,34.3,NO,45.0,NO
12085000.0,4.0642125235670275e+25,1.89,YES,YES,8.1,YES,37.0,YES
9866000.0,2.210928324268237e+25,1.55,YES,YES,93.3,NO,29.3,NO
15617000.0,8.773098551663529e+25,2.45,YES,YES,61.6,NO,23.3,NO
13306000.0,5.425431639753937e+25,2.08,YES,YES,65.2,NO,36.9,NO
12600000.0,4.606163768368884e+25,1.97,YES,YES,16.9,NO,32.6,NO
10663000.0,2.7916000358970826e+25,1.67,YES,YES,52.3,YES,39.4,YES
4453000.0,2.0332959362085218e+24,0.7,NO,NO,55.5,NO,20.3,NO
10878000.0,2.964380508581949e+25,1.7,YES,YES,65.9,NO,32.6,NO
6491000.0,6.298532520913694e+24,1.02,YES,NO,27.3,YES,24.5,NO
9537000.0,1.9976727318387944e+25,1.49,YES,YES,41.6,NO,34.6,NO
9369000.0,1.894002780442281e+25,1.47,NO,NO,27.2,NO,28.6,NO
10650000.0,2.781727755152553e+25,1.67,YES,YES,31.7,YES,20.9,YES
6149000.0,5.353229049437717e+24,0.96,NO,NO,67.4,NO,21.5,NO
5757000.0,4.3933577614835053e+24,0.9,NO,NO,57.4,NO,5.3,NO
7036000.0,8.021411965050634e+24,1.1,NO,NO,79.1,NO,49.3,NO
6791000.0,7.21154114871776e+24,1.06,NO,NO,60.5,NO,30.9,NO
8794000.0,1.5662804281480892e+25,1.38,YES,YES,105.3,NO,27.6,NO
11302000.0,3.323550304194302e+25,1.77,NO,NO,75.7,NO,42.2,NO
8655000.0,1.492439601174758e+25,1.36,YES,NO,85.1,NO,41.3,NO
9561000.0,2.012146372843976e+25,1.5,YES,YES,10.8,NO,30.8,NO
11689000.0,3.678279203399184e+25,1.83,YES,YES,26.5,NO,33.8,NO
2854000.0,5.352603840081052e+23,0.45,NO,NO,93.9,NO,48.0,NO
13511000.0,5.679875874762011e+25,2.12,YES,YES,63.4,YES,33.5,YES
5356000.0,3.5377786430538494e+24,0.84,NO,NO,95.2,NO,40.2,NO
8704000.0,1.5185202185953702e+25,1.36,YES,YES,65.3,NO,47.5,NO
11036000.0,3.0951885239269426e+25,1.73,NO,NO,71.5,NO,31.1,NO
9390000.0,1.906246873591961e+25,1.47,NO,NO,40.7,NO,44.8,NO
2451000.0,3.390173464177572e+23,0.38,YES,YES,84.3,NO,45.9,NO
11669000.0,3.6600659837455614e+25,1.83,NO,NO,68.8,NO,53.7,YES
1360000.0,5.792215320523749e+22,0.21,NO,NO,67.5,NO,26.2,NO
10481000.0,2.6506439009599585e+25,1.64,YES,YES,63.0,NO,37.6,NO
